PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
38.0,61.0,21.0,14.333333333333334,725.0,8.0,27.0
38.0,61.0,21.0,14.333333333333334,725.0,8.0,27.0
35.0,54.0,9.0,22.0,1118.0,8.0,27.0
30.0,49.0,23.0,10.0,626.0,23.0,29.0
30.0,49.0,23.0,10.0,626.0,24.0,30.0
29.0,47.0,32.666666666666664,7.333333333333333,557.3333333333334,11.0,27.0
30.0,49.0,23.0,10.0,626.0,24.0,28.0
30.0,49.0,23.0,10.0,626.0,23.0,30.0
29.0,47.0,23.0,10.0,626.0,25.0,30.0
29.0,47.0,23.0,10.0,626.0,24.0,29.0
30.0,49.0,23.0,10.0,626.0,24.0,29.0
30.0,49.0,23.0,10.0,626.0,23.0,29.0
38.0,61.0,14.0,9.0,370.0,21.0,29.0
30.0,49.0,23.0,10.0,626.0,22.0,29.0
26.0,40.0,26.0,24.0,1000.0,4.0,33.0
26.0,40.0,26.0,24.0,1000.0,10.0,34.0
26.0,40.0,26.0,24.0,1000.0,9.0,34.0
31.0,53.0,1.0,2.6666666666666665,1200.0,7.0,32.0
31.0,53.0,1.0,2.6666666666666665,1200.0,7.0,32.0
21.0,36.0,72.0,4.0,260.0,5.0,33.0
31.0,53.0,1.0,0.0,1200.0,9.0,32.0
21.0,36.0,72.0,4.0,260.0,6.0,33.0
26.0,40.0,38.0,6.0,600.0,5.0,33.0
21.0,36.0,72.0,4.0,260.0,8.0,32.0
21.0,36.0,72.0,4.0,260.0,7.0,34.0
34.0,89.0,37.0,17.0,950.0,6.666666666666667,18.0
60.0,131.0,41.0,20.0,580.0,4.333333333333333,24.0
60.0,131.0,41.0,20.0,580.0,4.333333333333333,24.0
60.0,131.0,41.0,20.0,580.0,4.0,20.0
48.0,75.0,36.0,6.0,368.0,6.0,22.0
34.0,89.0,37.0,17.0,950.0,6.666666666666667,27.0
60.0,131.0,41.0,20.0,580.0,4.333333333333333,22.0
34.0,89.0,37.0,17.0,950.0,7.0,18.0
34.0,89.0,37.0,17.0,950.0,7.0,14.0
34.0,89.0,37.0,17.0,950.0,6.0,21.0
60.0,131.0,41.0,20.0,580.0,5.0,20.0
42.0,60.0,17.333333333333332,10.666666666666666,707.3333333333334,11.0,29.0
38.0,56.0,5.0,9.0,599.0,1.0,28.0
42.0,60.0,25.0,8.0,1040.0,6.0,31.0
42.0,60.0,25.0,8.0,1040.0,8.0,31.0
42.0,60.0,11.0,10.0,478.6666666666667,9.0,29.0
42.0,60.0,18.333333333333332,8.333333333333334,893.0,3.0,30.0
42.0,60.0,25.0,8.0,1040.0,6.0,31.0
42.0,60.0,17.0,8.333333333333334,790.0,1.0,29.0
42.0,60.0,11.0,10.0,478.6666666666667,9.0,29.0
